Species,Genus,Family
Sweetbriar rose curly top-associated virus,Waikavirus,Secoviridae
Dinoroseobacter phage vB_DshP-R7L,Plymouthvirus,Schitoviridae
Garlic mite-borne filamentous virus,Allexivirus,Alphaflexiviridae
Tomato leaf curl Cameroon alphasatellite,Colecusatellite,Alphasatellitidae
Sweet potato virus G,Potyvirus,Potyviridae
Vohsuavirus limihabitans,Vohsuavirus,Fiersviridae
Badnavirus venaribis,Badnavirus,Caulimoviridae
Peropuvirus juli,Peropuvirus,Artoviridae
Orthorubulavirus suis,Orthorubulavirus,Paramyxoviridae
Citrus dwarfing viroid,Apscaviroid,Pospiviroidae
Bat coronavirus HKU10,Alphacoronavirus,Coronaviridae
Rhinovirus C,Enterovirus,Picornaviridae
Tequatrovirus sh7,Tequatrovirus,Straboviridae
Ollusvirus taiyuanense,Ollusvirus,Aliusviridae
Sida golden mosaic Costa Rica virus,Begomovirus,Geminiviridae
Weheuvirus lutivicinum,Weheuvirus,Steitzviridae
Tomato leaf curl Comoros virus,Begomovirus,Geminiviridae
Cowpea polerovirus 2,Polerovirus,Solemoviridae
Heterobasidion partitivirus 2,Betapartitivirus,Partitiviridae
Yuhrihovirus borborovivens,Yuhrihovirus,Fiersviridae
Unuamitovirus hyfr1,Unuamitovirus,Mitoviridae
Magoulivirus ipsilonplasmoparae,Magoulivirus,Botourmiaviridae
Hepatovirus I,Hepatovirus,Picornaviridae
Psouhdivirus limicola,Psouhdivirus,Steitzviridae
Acinetobacter virus Acj61,Lasallevirus,Straboviridae
Metapneumovirus hominis,Metapneumovirus,Pneumoviridae
Phlebovirus taparaense,Phlebovirus,Phenuiviridae
Orthohantavirus thailandense,Orthohantavirus,Hantaviridae
Gemykibivirus rhina2,Gemykibivirus,Genomoviridae
Toursvirus dptv1a,Toursvirus,Ascoviridae
Verbena mottle virus,Begomovirus,Geminiviridae
Parechovirus A,Parechovirus,Picornaviridae
Murine osteosarcoma virus,Gammaretrovirus,Retroviridae
Friunavirus PDAB9,Friunavirus,Autographiviridae
Akhmeta virus,Orthopoxvirus,Poxviridae
Tomato leaf curl Arusha virus,Begomovirus,Geminiviridae
Peanut mottle virus,Potyvirus,Potyviridae
Plantago lanceolata latent virus,Capulavirus,Geminiviridae
Dolusvirus shimokitaense,Dolusvirus,Verdandiviridae
Orthobornavirus elapsoideae,Orthobornavirus,Bornaviridae
Bocaparvovirus chiropteran2,Bocaparvovirus,Parvoviridae
Narmovirus myodesis,Narmovirus,Paramyxoviridae
Porcine astrovirus 4,Mamastrovirus,Astroviridae
Okra leaf curl India virus,Begomovirus,Geminiviridae
Thehlovirus edaphovicinum,Thehlovirus,Steitzviridae
Betachrysovirus pripenicillii,Betachrysovirus,Chrysoviridae
Taipeivirus magnus,Taipeivirus,Ackermannviridae
Betaricinrhavirus chimay,Betaricinrhavirus,Rhabdoviridae
Lulohlevirus edaphohabitans,Lulohlevirus,Fiersviridae
Betabaculovirus lacoleraceae,Betabaculovirus,Baculoviridae
Telnavirus tellinae,Telnavirus,Birnaviridae
Limaivirus borborocola,Limaivirus,Steitzviridae
Malachra yellow vein mosaic virus-associated satellite DNA beta,Betasatellite,Tolecusatellitidae
Vernonia yellow vein Fujian virus,Begomovirus,Geminiviridae
