Species,Genus,Family
Alphabaculovirus bomori,Alphabaculovirus,Baculoviridae
Pond slider testadenovirus A,Testadenovirus,Adenoviridae
Sweet potato virus 2,Potyvirus,Potyviridae
Endehruvirus chthonenecus,Endehruvirus,Steitzviridae
Crustavirus beihaiense,Crustavirus,Nyamiviridae
Faithunavirus guuelaD,Faithunavirus,Vilmaviridae
Iotaarterivirus debrazmo,Iotaarterivirus,Arteriviridae
Iotatorquevirus suida1a,Iotatorquevirus,Anelloviridae
Chrysonvirus as5,Chrysonvirus,Straboviridae
Pogseptimavirus VspSw1,Pogseptimavirus,Demerecviridae
Cardamom bushy dwarf virus,Babuvirus,Nanoviridae
Orthobunyavirus tacaiumaense,Orthobunyavirus,Peribunyaviridae
Klebsiella phage RAD2,Webervirus,Drexlerviridae
Scorzonera virus A,Potyvirus,Potyviridae
Bihdovirus pelohabitans,Bihdovirus,Fiersviridae
Betapolyomavirus elephanti,Betapolyomavirus,Polyomaviridae
Gammapolyomavirus cratorquatus,Gammapolyomavirus,Polyomaviridae
Skhembuvirus limivivens,Skhembuvirus,Fiersviridae
Sweet potato leaf curl Georgia virus,Begomovirus,Geminiviridae
Magoulivirus deltaplasmoparae,Magoulivirus,Botourmiaviridae
Jeilongvirus mabuense,Jeilongvirus,Paramyxoviridae
Dyorhopapillomavirus 1,Dyorhopapillomavirus,Papillomaviridae
Amalgavirus lycopersici,Amalgavirus,Amalgaviridae
Rhadinovirus cricetidgamma2,Rhadinovirus,Orthoherpesviridae
Caeruleovirus Bc431,Caeruleovirus,Herelleviridae
Efkovirus efeko,Efekovirus,Orlajensenviridae
Tomato yellow leaf curl Yunnan betasatellite,Betasatellite,Tolecusatellitidae
Ineyimevirus lutivicinum,Ineyimevirus,Fiersviridae
Phlox virus M,Carlavirus,Betaflexiviridae
Betahypovirus valsae,Betahypovirus,Hypoviridae
Brugmansia mild mottle virus,Tobamovirus,Virgaviridae
Alphatorquevirus homin2,Alphatorquevirus,Anelloviridae
Iflavirus nilalugentis,Iflavirus,Iflaviridae
Tenuivirus oryzabrevis,Tenuivirus,Phenuiviridae
Corticovirus PM2,Corticovirus,Corticoviridae
Betapaprhavirus frugiperda,Betapaprhavirus,Rhabdoviridae
Papaya lethal yellowing virus,Sobemovirus,Solemoviridae
Tehuhdavirus pelovivens,Tehuhdavirus,Duinviridae
Gemycircularvirus cybusi1,Gemycircularvirus,Genomoviridae
Alehxovirus borboradaptatum,Alehxovirus,Steitzviridae
Phlebovirus itaitubaense,Phlebovirus,Phenuiviridae
Mahstovirus faecalis,Mahstovirus,Steigviridae
Metaavulavirus peixense,Metaavulavirus,Paramyxoviridae
Dichorhavirus orchidaceae,Dichorhavirus,Rhabdoviridae
Enterovirus F,Enterovirus,Picornaviridae
Morbillivirus phocae,Morbillivirus,Paramyxoviridae
Orthobunyavirus bertiogaense,Orthobunyavirus,Peribunyaviridae
Suhnsivirus lutivivens,Suhnsivirus,Steitzviridae
Cladosporium cladosporioides polymycovirus 1,Polymycovirus,Polymycoviridae
Betapleolipovirus HRPV11,Betapleolipovirus,Pleolipoviridae
Scloravirus humicola,Scloravirus,Atkinsviridae
Orthobunyavirus thimiriense,Orthobunyavirus,Peribunyaviridae
Gloriosa stripe mosaic virus,Potyvirus,Potyviridae
Orthobunyavirus anadyrense,Orthobunyavirus,Peribunyaviridae
Porcine circovirus-like virus P1,Circovirus,Circoviridae
Sauropus yellowing virus,Polerovirus,Solemoviridae
Soybean crinkle leaf virus,Begomovirus,Geminiviridae
Beauveria bassiana victorivirus 1,Victorivirus,Totiviridae
Ferlavirus reptilis,Ferlavirus,Paramyxoviridae
Tomato golden leaf spot virus,Begomovirus,Geminiviridae
Obuda pepper virus,Tobamovirus,Virgaviridae
Teetrevirus AP5,Teetrevirus,Autographiviridae
Choristoneura biennis entomopoxvirus,Betaentomopoxvirus,Poxviridae
Betatorquevirus homini2,Betatorquevirus,Anelloviridae
Epseptimavirus S132,Epseptimavirus,Demerecviridae
Gammapapillomavirus 13,Gammapapillomavirus,Papillomaviridae
Bebaru virus,Alphavirus,Togaviridae
Phimunavirus Clickz,Phimunavirus,Autographiviridae
Etheostoma fonticola aquareovirus,Aquareovirus,Spinareoviridae
Sweet potato leaf curl Spain virus,Begomovirus,Geminiviridae
Woolly monkey sarcoma virus,Gammaretrovirus,Retroviridae
Blackberry virus E,Allexivirus,Alphaflexiviridae
Rosenblumvirus GRCS,Rosenblumvirus,Rountreeviridae
Lambdaarterivirus afriporav,Lambdaarterivirus,Arteriviridae
pineapple secovirus B,Sadwavirus,Secoviridae
Betapolyomavirus zacalifornianus,Betapolyomavirus,Polyomaviridae
Spilanthes yellow vein virus,Begomovirus,Geminiviridae
Tequatrovirus shfml11,Tequatrovirus,Straboviridae
Vaccinivirus cadovaccinii,Vaccinivirus,Caulimoviridae
Faithunavirus archie,Faithunavirus,Vilmaviridae
Orthoflavivirus omskense,Orthoflavivirus,Flaviviridae
Alphabaculovirus peluscae,Alphabaculovirus,Baculoviridae
Cohcovirus hiberniae,Cohcovirus,Suoliviridae
Peduovirus R18C,Peduovirus,Peduoviridae
Alphanucleorhabdovirus physostegiae,Alphanucleorhabdovirus,Rhabdoviridae
Piscichuvirus lycodontis,Piscichuvirus,Chuviridae
Hedyotis yellow mosaic betasatellite,Betasatellite,Tolecusatellitidae
Konmavirus lutivivens,Konmavirus,Blumeviridae
Reptillovirus hemidactyli,Reptillovirus,Hantaviridae
Physalis rugose mosaic virus,Sobemovirus,Solemoviridae
Tarumizu coltivirus,Coltivirus,Spinareoviridae
Orthonairovirus artashatense,Orthonairovirus,Nairoviridae
Orthoflavivirus dakarense,Orthoflavivirus,Flaviviridae
Betachrysovirus alternariae,Betachrysovirus,Chrysoviridae
Sclerotinia scleroulivirus 1,Scleroulivirus,Botourmiaviridae
Sigmavirus obscura,Sigmavirus,Rhabdoviridae
Webervirus mezzogao,Webervirus,Drexlerviridae
Ludwigia leaf distortion betasatellite,Betasatellite,Tolecusatellitidae
Vigna yellow mosaic virus,Begomovirus,Geminiviridae
Guangxi orbivirus,Orbivirus,Sedoreoviridae
Kayfunavirus SH3,Kayfunavirus,Autographiviridae
Gemykrogvirus carib1,Gemykrogvirus,Genomoviridae
Paundecimvirus PA11,Paundecimvirus,Zobellviridae
Orthobunyavirus utingaense,Orthobunyavirus,Peribunyaviridae
Betatorquevirus homini10,Betatorquevirus,Anelloviridae
Streptococcus phage SW5,Moineauvirus,Aliceevansviridae
Ledantevirus taiyi,Ledantevirus,Rhabdoviridae
Paulavirus viph1020o,Paulavirus,Autolykiviridae
Gyrovirus hydho1,Gyrovirus,Anelloviridae
Orthobunyavirus insulae,Orthobunyavirus,Peribunyaviridae
Gremmeniella abietina RNA virus L2,Totivirus,Totiviridae
Tibirnivirus paludicola,Tibirnivirus,Blumeviridae
Alehxovirus agradaptatum,Alehxovirus,Steitzviridae
Orthoflavivirus saumarezense,Orthoflavivirus,Flaviviridae
Sigmavirus immigrans,Sigmavirus,Rhabdoviridae
Mammarenavirus choriomeningitidis,Mammarenavirus,Arenaviridae
Sadwavirus citri,Sadwavirus,Secoviridae
Saccharomyces cerevisiae virus L-A,Totivirus,Totiviridae
Gammapapillomavirus 20,Gammapapillomavirus,Papillomaviridae
Cotton leaf curl Shahdadpur virus,Begomovirus,Geminiviridae
Sida yellow vein Madurai virus,Begomovirus,Geminiviridae
Acadevirus Pm5460,Acadevirus,Autographiviridae
Pahsextavirus pAh6C,Pahsextavirus,Chaseviridae
Ghunavirus PSA2,Ghunavirus,Autographiviridae
Mungbean yellow mosaic India virus,Begomovirus,Geminiviridae
Epseptimavirus Sw2,Epseptimavirus,Demerecviridae
Epseptimavirus S126,Epseptimavirus,Demerecviridae
Mammarenavirus okahandjaense,Mammarenavirus,Arenaviridae
Unuamitovirus scsc2,Unuamitovirus,Mitoviridae
Kehruavirus agricola,Kehruavirus,Steitzviridae
Tobacco vein mottling virus,Potyvirus,Potyviridae
Gemycircularvirus denbre1,Gemycircularvirus,Genomoviridae
Gredihovirus geocola,Gredihovirus,Steitzviridae
Drulisvirus KpV71,Drulisvirus,Autographiviridae
Omegapapillomavirus 1,Omegapapillomavirus,Papillomaviridae
Alphabaculovirus splittoralis,Alphabaculovirus,Baculoviridae
Canoevirus canoe,Canoevirus,Peduoviridae
Mammarenavirus mopeiaense,Mammarenavirus,Arenaviridae
Sharonstreetvirus A18P4,Sharonstreetvirus,Casjensviridae
Kuttervirus SeG,Kuttervirus,Ackermannviridae
Bragavirus p43,Bragavirus,Straboviridae
Mahshuvirus limivivens,Mahshuvirus,Solspiviridae
Gelderlandvirus s16,Gelderlandvirus,Straboviridae
Anidravirus hangzhouense,Anidravirus,Lispiviridae
Batravirus ranidallo1,Batravirus,Alloherpesviridae
Betachrysovirus neofusicocci,Betachrysovirus,Chrysoviridae
Alphatrevirus St1,Alphatrevirus,Microviridae
Cyclovirus pea,Cyclovirus,Circoviridae
Infratovirus 1,Infratovirus,Tobaniviridae
Gallivirus A,Gallivirus,Picornaviridae
Nahjiuvirus borborovicinum,Nahjiuvirus,Fiersviridae
Coleus vein necrosis virus,Carlavirus,Betaflexiviridae
Sweet potato symptomless virus 1,Mastrevirus,Geminiviridae
Curiovirus rochambeau,Curiovirus,Rhabdoviridae
Desmodium mottle virus,Begomovirus,Geminiviridae
Black raspberry virus F,Totivirus,Totiviridae
Streptococcus phage SWK3,Moineauvirus,Aliceevansviridae
Cotton leaf curl Gezira virus,Begomovirus,Geminiviridae
Orthobunyavirus ainoense,Orthobunyavirus,Peribunyaviridae
Orthoflavivirus entebbeense,Orthoflavivirus,Flaviviridae
Pseudotevenvirus leb,Pseudotevenvirus,Straboviridae
Tequatrovirus RB27,Tequatrovirus,Straboviridae
Tomato leaf curl Diana virus,Begomovirus,Geminiviridae
Idaeovirus ligustri,Idaeovirus,Mayoviridae
Badnavirus gammavirgamusae,Badnavirus,Caulimoviridae
Coconut foliar decay alphasatellite 7,Coprasatellite,Alphasatellitidae
Streptococcus phage P9853,Brussowvirus,Aliceevansviridae
Betachrysovirus botryosphaeriae,Betachrysovirus,Chrysoviridae
Socyvirus heteroderae,Socyvirus,Nyamiviridae
Sunrhavirus sandjimba,Sunrhavirus,Rhabdoviridae
Soybean chlorotic spot virus,Begomovirus,Geminiviridae
Human smacovirus 1,Huchismacovirus,Smacoviridae
Chinihovirus lutihabitans,Chinihovirus,Atkinsviridae
Kehruavirus humivicinum,Kehruavirus,Steitzviridae
Salmovirus salmonidallo3,Salmovirus,Alloherpesviridae
Circovirus kelawar,Circovirus,Circoviridae
Aerosvirus av25AhydR2PP,Aerosvirus,Autographiviridae
Camel associated drosmacovirus 2,Drosmacovirus,Smacoviridae
Claudivirus Goe4,Claudivirus,Salasmaviridae
Weheuvirus paludicola,Weheuvirus,Steitzviridae
Nohivirus S31C1,Nohivirus,Autographiviridae
Wheat dwarf virus,Mastrevirus,Geminiviridae
Tibrovirus tibrogargan,Tibrovirus,Rhabdoviridae
Tobacco curly shoot alphasatellite,Colecusatellite,Alphasatellitidae
Jonvirus eboris,Jonvirus,Phasmaviridae
Sida interveinal bright yellow virus,Begomovirus,Geminiviridae
Caulimovirus tesselloscrophulariae,Caulimovirus,Caulimoviridae
Aeropyrum pernix bacilliform virus 1,Clavavirus,Clavaviridae
Tuskovirus caenadaptatum,Tuskovirus,Steitzviridae
Vernonia crinkle virus,Begomovirus,Geminiviridae
Bombyx mori iflavirus,Iflavirus,Iflaviridae
Indian peanut clump virus,Pecluvirus,Virgaviridae
Mihkrovirus soladaptatum,Mihkrovirus,Fiersviridae
Sweet potato virus C,Potyvirus,Potyviridae
Amalgavirus allii,Amalgavirus,Amalgaviridae
Clerodendrum golden mosaic China virus,Begomovirus,Geminiviridae
Cahdavirus humicola,Cahdavirus,Fiersviridae
Affertcholeramvirus CTXphi,Affertcholeramvirus,Inoviridae
Alphanucleorhabdovirus tritici,Alphanucleorhabdovirus,Rhabdoviridae
Eganvirus SEN1,Eganvirus,Peduoviridae
Lake Sinai Virus TO,Sinaivirus,Sinhaliviridae
Enterobacteria phage WA13,Alphatrevirus,Microviridae
Luteovirus sociomali,Luteovirus,Tombusviridae
Vipivirus canadense,Vipivirus,Zobellviridae
Cyclovirus mmadu,Cyclovirus,Circoviridae
Minusuvirus solivicinum,Minusuvirus,Steitzviridae
Ictavirus ictaluridallo2,Ictavirus,Alloherpesviridae
Phaseolus vulgaris alphaendornavirus 1,Alphaendornavirus,Endornaviridae
Ectocarpus fasciculatus virus a,Phaeovirus,Phycodnaviridae
Mint virus 1,Closterovirus,Closteroviridae
Epseptimavirus OSYSTA,Epseptimavirus,Demerecviridae
Cosavirus D,Cosavirus,Picornaviridae
Orthonairovirus esteroense,Orthonairovirus,Nairoviridae
Banmivirus BanMMV,Banmivirus,Betaflexiviridae
Phimunavirus PP90,Phimunavirus,Autographiviridae
Brudgevirus caenadaptatum,Brudgevirus,Fiersviridae
Wulfhauvirus bangladeshii,Wulfhauvirus,Steigviridae
Sea otterpox virus,Mustelpoxvirus,Poxviridae
Alphanudivirus quartudromelanogasteris,Alphanudivirus,Nudiviridae
Kyanivirus asiadaptatum,Kyanivirus,Steitzviridae
Yacon virus A,Capillovirus,Betaflexiviridae
Thetahypovirus botrytidis,Thetahypovirus,Hypoviridae
Leek yellow stripe virus,Potyvirus,Potyviridae
Simian torque teno virus 33,Alphatorquevirus,Anelloviridae
Radish leaf curl virus,Begomovirus,Geminiviridae
Shingleback nidovirus 1,Pregotovirus,Tobaniviridae
Labanvirus laban,Labanvirus,Duneviridae
Orthohantavirus dobravaense,Orthohantavirus,Hantaviridae
Alphaglobulovirus TSPV1,Alphaglobulovirus,Globuloviridae
Malvastrum bright yellow mosaic virus,Begomovirus,Geminiviridae
Gredihovirus agrivivens,Gredihovirus,Steitzviridae
Zicotriavirus ZC03,Zicotriavirus,Schitoviridae
Gemycircularvirus ptero2,Gemycircularvirus,Genomoviridae
Tunavirus BIFF,Tunavirus,Drexlerviridae
Neofusicoccum penoulivirus,Penoulivirus,Botourmiaviridae
Ephemerovirus kent,Ephemerovirus,Rhabdoviridae
Alphasphaerolipovirus PH1,Alphasphaerolipovirus,Sphaerolipoviridae
Orthobunyavirus maguariense,Orthobunyavirus,Peribunyaviridae
Porprismacovirus lynas2,Porprismacovirus,Smacoviridae
Elderberry carlavirus B,Carlavirus,Betaflexiviridae
Perrunavirus olsenii,Perrunavirus,Fiersviridae
Varicellovirus cervidalpha3,Varicellovirus,Orthoherpesviridae
Badnavirus betainflatheobromae,Badnavirus,Caulimoviridae
Karamvirus mypsh1140,Karamvirus,Straboviridae
Carbovirus queenslandense,Carbovirus,Bornaviridae
Sequivirus pastinacae,Sequivirus,Secoviridae
Bovine rhinitis B virus,Aphthovirus,Picornaviridae
Aura virus,Alphavirus,Togaviridae
Ageratum leaf curl Sichuan virus,Begomovirus,Geminiviridae
Trichoplusia ni TED virus,Errantivirus,Metaviridae
Phimunavirus khlen,Phimunavirus,Autographiviridae
Dhakavirus bp7,Dhakavirus,Straboviridae
Reptarenavirus rotterdamense,Reptarenavirus,Arenaviridae
Pepper vein yellows virus 2,Polerovirus,Solemoviridae
Stehnavirus chorohabitans,Stehnavirus,Steitzviridae
Porcine bocavirus,Bocaparvovirus,Parvoviridae
Eragrostis minor streak virus,Mastrevirus,Geminiviridae
Orthodiscovirus coniellae,Orthodiscovirus,Discoviridae
Ustilaginoidea virens RNA virus M,Victorivirus,Totiviridae
Jiaoyazivirus RSB3,Jiaoyazivirus,Autographiviridae
Nepovirus cynarae,Nepovirus,Secoviridae
Penoulivirus betaplasmoparae,Penoulivirus,Botourmiaviridae
Orthophasmavirus coleopterus,Orthophasmavirus,Phasmaviridae
Leefvirus Leef,Leefvirus,Helgolandviridae
Cassia yellow blotch virus,Bromovirus,Bromoviridae
Malva mosaic virus,Potexvirus,Alphaflexiviridae
Fig fleck-associated virus,Maculavirus,Tymoviridae
Tequintavirus gostya9,Tequintavirus,Demerecviridae
Ghunavirus henninger,Ghunavirus,Autographiviridae
Lyssavirus aravan,Lyssavirus,Rhabdoviridae
Zinnia leaf curl virus-associated DNA beta,Betasatellite,Tolecusatellitidae
Grapevine Pinot gris virus,Trichovirus,Betaflexiviridae
Tomato yellow leaf curl Thailand betasatellite,Betasatellite,Tolecusatellitidae
Sida bright yellow mosaic virus,Begomovirus,Geminiviridae
Tequatrovirus zeen18,Tequatrovirus,Straboviridae
Xanthophyllomyces dendrorhous virus L1A,Totivirus,Totiviridae
Cahrpivirus caenivivens,Cahrpivirus,Fiersviridae
Przondovirus KP32i196,Przondovirus,Autographiviridae
Hoswirudivirus ARV2,Hoswirudivirus,Rudiviridae
Jeilongvirus rungweense,Jeilongvirus,Paramyxoviridae
Alphafusarivirus pleosporae,Alphafusarivirus,Fusariviridae
Hubavirus myriapedis,Hubavirus,Mypoviridae
Alphafusarivirus ioaponiae,Alphafusarivirus,Fusariviridae
Uukuvirus lihanense,Uukuvirus,Phenuiviridae
Gemycircularvirus solas1,Gemycircularvirus,Genomoviridae
Betatorquevirus homini7,Betatorquevirus,Anelloviridae
Peduovirus P2,Peduovirus,Peduoviridae
Chifec virus UA15_35,Cyclovirus,Circoviridae
Gammapapillomavirus sp.,Gammapapillomavirus,Papillomaviridae
Eregrovirus chthonohabitans,Eregrovirus,Steitzviridae
Sclerotimonavirus fusarii,Sclerotimonavirus,Mymonaviridae
Amdoparvovirus carnivoran1,Amdoparvovirus,Parvoviridae
Uukuvirus dermacentoris,Uukuvirus,Phenuiviridae
Drulisvirus KpV475,Drulisvirus,Autographiviridae
Ageratum yellow vein China betasatellite,Betasatellite,Tolecusatellitidae
Webervirus shelby,Webervirus,Drexlerviridae
Gredihovirus arvivicinum,Gredihovirus,Steitzviridae
Emilia sonchifolia yellow vein Thailand virus,Begomovirus,Geminiviridae
Tomato yellow leaf curl Vietnam betasatellite,Betasatellite,Tolecusatellitidae
Maculvirus KF1,Maculvirus,Autographiviridae
Ceratocystis resinifera virus 1,Betapartitivirus,Partitiviridae
Faithunavirus tourach,Faithunavirus,Vilmaviridae
Eclipta yellow vein virus,Begomovirus,Geminiviridae
Datura leaf distortion virus,Begomovirus,Geminiviridae
Alphacoronavirus 1,Alphacoronavirus,Coronaviridae
Gmuhndevirus pelovivens,Gmuhndevirus,Fiersviridae
Cosavirus F,Cosavirus,Picornaviridae
Tequintavirus DT57C,Tequintavirus,Demerecviridae
Tequatrovirus ecombl75,Tequatrovirus,Straboviridae
Streptococcus phage SW11,Moineauvirus,Aliceevansviridae
Bee Macula-Like virus 2,Maculavirus,Tymoviridae
Przondovirus KP32i195,Przondovirus,Autographiviridae
Grusopivirus C,Grusopivirus,Picornaviridae
Tequatrovirus T6,Tequatrovirus,Straboviridae
Cactus virus X,Potexvirus,Alphaflexiviridae
Simian mastadenovirus G,Mastadenovirus,Adenoviridae
Burkholderia virus AH2,Ahduovirus,Casjensviridae
Vipunavirus pVp1,Vipunavirus,Demerecviridae
Luteovirus kerbihordei,Luteovirus,Tombusviridae
Malvastrum yellow mosaic Cameroon alphasatellite,Colecusatellite,Alphasatellitidae
Boloprevirus borboradaptatum,Boloprevirus,Fiersviridae
Berhavirus beihaiense,Berhavirus,Nyamiviridae
Cytomegalovirus papiinebeta3,Cytomegalovirus,Orthoherpesviridae
Dianlovirus menglaense,Dianlovirus,Filoviridae
Wheat spindle streak mosaic virus,Bymovirus,Potyviridae
Alehxovirus asiovivens,Alehxovirus,Steitzviridae
Astarnavirus,Kusarnavirus,Marnaviridae
Rodent deltavirus,Deltavirus,Kolmioviridae
Webervirus wv13,Webervirus,Drexlerviridae
Tomato leaf curl Laos betasatellite,Betasatellite,Tolecusatellitidae
Alphabaculovirus anpernyi,Alphabaculovirus,Baculoviridae
Orthohantavirus yakeshiense,Orthohantavirus,Hantaviridae
Teseptimavirus T7,Teseptimavirus,Autographiviridae
Gemykolovirus ptero1,Gemykolovirus,Genomoviridae
Cucumber mosaic virus,Cucumovirus,Bromoviridae
Coleviroid cbvd-5,Coleviroid,Pospiviroidae
Wenrivirus penaei,Wenrivirus,Phenuiviridae
Tupavirus klamath,Tupavirus,Rhabdoviridae
Eimeria tenella RNA virus 1,Victorivirus,Totiviridae
Phikmvvirus NFS,Phikmvvirus,Autographiviridae
Noahvirus arc,Noahvirus,Naomviridae
Alehndavirus ruminicola,Alehndavirus,Blumeviridae
Lambdapapillomavirus 4,Lambdapapillomavirus,Papillomaviridae
Corchorus yellow vein mosaic betasatellite,Betasatellite,Tolecusatellitidae
Jiaodavirus mineola,Jiaodavirus,Straboviridae
Orthobunyavirus squalofluvii,Orthobunyavirus,Peribunyaviridae
Iruqauvirus pelocola,Iruqauvirus,Fiersviridae
Alphayadokarivirus sanbani,Alphayadokarivirus,Yadokariviridae
Tymovirus plantagonis,Tymovirus,Tymoviridae
Nepovirus foliumflabelli,Nepovirus,Secoviridae
Rosavirus C,Rosavirus,Picornaviridae
Nauglamirvirus anduin,Nauglamirvirus,Naryaviridae
Rotavirus I,Rotavirus,Sedoreoviridae
Gemycircularvirus HV-GcV1,Gemycircularvirus,Genomoviridae
Tymovirus anagyris,Tymovirus,Tymoviridae
Buchavirus coli,Buchavirus,Suoliviridae
Copiparvovirus ungulate1,Copiparvovirus,Parvoviridae
Moloevirus chthonenecus,Moloevirus,Atkinsviridae
Bonaevitaevirus bonaevitae,Bonaevitaevirus,Orlajensenviridae
Tomato yellow leaf distortion deltasatellite 2,Deltasatellite,Tolecusatellitidae
Molucevirus chthonovicinum,Molucevirus,Steitzviridae
Canine bocavirus 3,Bocaparvovirus,Parvoviridae
Coguvirus citri,Coguvirus,Phenuiviridae
Tall oatgrass mosaic virus,Tritimovirus,Potyviridae
Mammarenavirus lujoense,Mammarenavirus,Arenaviridae
Thogotovirus sinuense,Thogotovirus,Orthomyxoviridae
Simplexvirus atelinealpha1,Simplexvirus,Orthoherpesviridae
Comovirus fabae,Comovirus,Secoviridae
Phlebovirus mungubaense,Phlebovirus,Phenuiviridae
Alphabaculovirus mabrassicae,Alphabaculovirus,Baculoviridae
Langur virus,Betaretrovirus,Retroviridae
Thalassavirus gary,Thalassavirus,Demerecviridae
Malvastrum leaf curl deltasatellite,Deltasatellite,Tolecusatellitidae
Tasmanian aquabirnavirus,Aquabirnavirus,Birnaviridae
Drosmacovirus bovas1,Drosmacovirus,Smacoviridae
Orthobunyavirus achiotei,Orthobunyavirus,Peribunyaviridae
Tombusvirus havelfluminis,Tombusvirus,Tombusviridae
Gelderlandvirus cgg41,Gelderlandvirus,Straboviridae
Chifec virus UA13_1887,Cyclovirus,Circoviridae
Circovirus siksparnis,Circovirus,Circoviridae
Aptresvirus AP3,Aptresvirus,Peduoviridae
Cavemovirus collusipomeae,Cavemovirus,Caulimoviridae
Culicidavirus culicis,Culicidavirus,Chuviridae
Fusarium oxysporum ourmia-like virus,Ourmiavirus,Botourmiaviridae
Tuber aestivum virus 1,Totivirus,Totiviridae
Chaetenuissarnavirus II,Sogarnavirus,Marnaviridae
Carlavirus SCV1,Carlavirus,Betaflexiviridae
Emaravirus idaeobati,Emaravirus,Fimoviridae
Phlebovirus odrenisrouense,Phlebovirus,Phenuiviridae
Gremmeniella abietina betaendornavirus 1,Betaendornavirus,Endornaviridae
Orthotospovirus arachinecrosis,Orthotospovirus,Tospoviridae
Hacihdavirus animalis,Hacihdavirus,Intestiviridae
Dolphin mastadenovirus B,Mastadenovirus,Adenoviridae
Vohsuavirus pedovivens,Vohsuavirus,Fiersviridae
Camellia chlorotic dwarf-associated virus,Citlodavirus,Geminiviridae
Mammarenavirus allpahuayoense,Mammarenavirus,Arenaviridae
Chivirus cv118970sal1,Chivirus,Casjensviridae
Streptococcus phage CHPC1029,Moineauvirus,Aliceevansviridae
Cepunavirus Cp7,Cepunavirus,Salasmaviridae
